"Tanggal,""Terakhir"",""Pembukaan"",""Tertinggi"",""Terendah"",""Vol"",""Perubahan%"""
"21/01/2025,""7181,82"",""7207,59"",""7221,73"",""7176,33"",""17,62B"",""0,15%"""
"20/01/2025,""7170,74"",""7188,40"",""7201,61"",""7165,44"",""18,31B"",""0,22%"""
"17/01/2025,""7154,66"",""7115,05"",""7178,81"",""7084,30"",""19,78B"",""0,66%"""
"16/01/2025,""7107,52"",""7165,18"",""7190,61"",""7071,91"",""14,48B"",""0,39%"""
"15/01/2025,""7079,56"",""6992,85"",""7084,56"",""6977,77"",""17,35B"",""1,77%"""
"14/01/2025,""6956,67"",""7014,80"",""7042,33"",""6956,67"",""15,10B"",""-0,86%"""
"13/01/2025,""7016,88"",""7076,70"",""7089,57"",""6986,59"",""14,99B"",""-1,02%"""
"10/01/2025,""7088,87"",""7076,90"",""7121,63"",""7074,14"",""16,62B"",""0,34%"""
"09/01/2025,""7064,59"",""7093,25"",""7106,46"",""7062,10"",""14,85B"",""-0,22%"""
"08/01/2025,""7080,35"",""7099,66"",""7129,29"",""7046,17"",""14,71B"",""-0,04%"""
"07/01/2025,""7083,28"",""7074,26"",""7103,19"",""7029,51"",""14,47B"",""0,04%"""
"06/01/2025,""7080,47"",""7176,12"",""7182,02"",""7073,95"",""19,22B"",""-1,17%"""
"03/01/2025,""7164,43"",""7177,25"",""7197,01"",""7135,28"",""18,29B"",""0,02%"""
"02/01/2025,""7163,21"",""7092,43"",""7163,21"",""7088,32"",""16,18B"",""1,18%"""
"30/12/2024,""7079,90"",""7026,78"",""7079,90"",""6993,07"",""15,97B"",""0,62%"""
"27/12/2024,""7036,57"",""7073,38"",""7100,27"",""7024,71"",""14,43B"",""-0,41%"""
"24/12/2024,""7065,75"",""7115,64"",""7120,58"",""7063,75"",""11,06B"",""-0,43%"""
"23/12/2024,""7096,44"",""7037,53"",""7096,44"",""7035,73"",""13,87B"",""1,61%"""
"20/12/2024,""6983,87"",""6980,17"",""7032,40"",""6931,58"",""14,57B"",""0,09%"""
"19/12/2024,""6977,24"",""7034,62"",""7040,55"",""6951,05"",""17,09B"",""-1,84%"""
"18/12/2024,""7107,88"",""7168,97"",""7216,88"",""7105,07"",""12,24B"",""-0,70%"""
"17/12/2024,""7157,73"",""7238,17"",""7263,31"",""7132,06"",""15,74B"",""-1,39%"""
"16/12/2024,""7258,63"",""7304,22"",""7320,79"",""7204,65"",""18,65B"",""-0,90%"""
"13/12/2024,""7324,79"",""7379,75"",""7399,90"",""7324,79"",""12,01B"",""-0,94%"""
"12/12/2024,""7394,24"",""7441,97"",""7470,89"",""7380,03"",""14,77B"",""-0,94%"""
"11/12/2024,""7464,75"",""7444,86"",""7530,56"",""7444,17"",""23,55B"",""0,15%"""
"10/12/2024,""7453,29"",""7448,77"",""7457,81"",""7396,79"",""20,33B"",""0,21%"""
"09/12/2024,""7437,73"",""7382,61"",""7440,98"",""7380,66"",""23,01B"",""0,74%"""
"06/12/2024,""7382,79"",""7302,67"",""7382,81"",""7287,60"",""13,02B"",""0,95%"""
"05/12/2024,""7313,31"",""7326,02"",""7338,60"",""7283,50"",""13,14B"",""-0,18%"""
"04/12/2024,""7326,76"",""7198,10"",""7328,32"",""7187,48"",""16,64B"",""1,82%"""
"03/12/2024,""7196,02"",""7104,93"",""7196,02"",""7102,22"",""17,63B"",""2,11%"""
"02/12/2024,""7046,99"",""7117,75"",""7153,03"",""7041,34"",""16,39B"",""-0,95%"""
"29/11/2024,""7114,27"",""7168,00"",""7189,13"",""7107,28"",""21,84B"",""-1,19%"""
"28/11/2024,""7200,16"",""7215,91"",""7249,69"",""7195,67"",""17,90B"",""-0,63%"""
"26/11/2024,""7245,89"",""7329,53"",""7341,60"",""7245,89"",""16,41B"",""-0,93%"""
"25/11/2024,""7314,11"",""7218,95"",""7329,49"",""7218,83"",""26,48B"",""1,65%"""
"22/11/2024,""7195,56"",""7154,68"",""7215,69"",""7154,45"",""20,58B"",""0,77%"""
"21/11/2024,""7140,91"",""7168,33"",""7209,36"",""7140,91"",""15,57B"",""-0,55%"""
"20/11/2024,""7180,33"",""7214,00"",""7229,71"",""7171,27"",""16,41B"",""-0,21%"""
"19/11/2024,""7195,71"",""7140,19"",""7229,83"",""7136,69"",""20,51B"",""0,86%"""
"18/11/2024,""7134,28"",""7152,08"",""7174,75"",""7118,87"",""19,17B"",""-0,38%"""
"15/11/2024,""7161,26"",""7192,21"",""7241,66"",""7122,68"",""21,31B"",""-0,74%"""
"14/11/2024,""7214,56"",""7303,90"",""7318,78"",""7214,56"",""20,94B"",""-1,29%"""
"13/11/2024,""7308,67"",""7344,01"",""7370,39"",""7304,87"",""22,63B"",""-0,18%"""
"12/11/2024,""7321,99"",""7271,17"",""7344,07"",""7268,61"",""28,77B"",""0,76%"""
"11/11/2024,""7266,46"",""7259,29"",""7282,20"",""7182,31"",""22,10B"",""-0,28%"""
"08/11/2024,""7287,19"",""7263,96"",""7350,36"",""7263,96"",""14,89B"",""0,60%"""
"07/11/2024,""7243,86"",""7373,57"",""7381,76"",""7243,86"",""20,41B"",""-1,90%"""
"06/11/2024,""7383,87"",""7495,13"",""7506,60"",""7363,03"",""23,58B"",""-1,44%"""
"05/11/2024,""7491,93"",""7474,45"",""7497,00"",""7451,55"",""18,27B"",""0,17%"""
"04/11/2024,""7479,50"",""7505,11"",""7529,70"",""7415,81"",""21,23B"",""-0,34%"""
"01/11/2024,""7505,26"",""7573,79"",""7583,69"",""7485,46"",""15,53B"",""-0,91%"""
"31/10/2024,""7574,02"",""7569,72"",""7617,36"",""7558,68"",""20,33B"",""0,06%"""
"30/10/2024,""7569,85"",""7558,80"",""7581,91"",""7521,73"",""16,82B"",""-0,48%"""
"29/10/2024,""7606,60"",""7625,47"",""7666,43"",""7587,21"",""18,28B"",""-0,37%"""
"28/10/2024,""7634,63"",""7705,87"",""7714,74"",""7599,62"",""19,72B"",""-0,78%"""
"25/10/2024,""7694,66"",""7717,43"",""7752,25"",""7678,18"",""20,58B"",""-0,28%"""
"24/10/2024,""7716,55"",""7778,66"",""7794,86"",""7716,55"",""24,29B"",""-0,91%"""
"23/10/2024,""7787,56"",""7774,01"",""7805,92"",""7761,25"",""26,97B"",""-0,02%"""
"22/10/2024,""7788,98"",""7752,38"",""7801,40"",""7731,96"",""28,68B"",""0,21%"""
"21/10/2024,""7772,60"",""7780,25"",""7795,09"",""7739,89"",""24,69B"",""0,16%"""
"18/10/2024,""7760,06"",""7762,15"",""7790,71"",""7718,68"",""23,43B"",""0,32%"""
"17/10/2024,""7735,04"",""7661,07"",""7758,67"",""7657,72"",""22,46B"",""1,13%"""
"16/10/2024,""7648,94"",""7645,21"",""7658,40"",""7616,60"",""19,74B"",""0,29%"""
"15/10/2024,""7626,95"",""7579,05"",""7635,04"",""7573,45"",""21,87B"",""0,89%"""
"14/10/2024,""7559,65"",""7518,81"",""7570,27"",""7518,81"",""20,59B"",""0,52%"""
"11/10/2024,""7520,60"",""7520,53"",""7549,54"",""7506,28"",""15,95B"",""0,54%"""
"10/10/2024,""7480,08"",""7501,87"",""7528,95"",""7467,82"",""15,80B"",""-0,28%"""
"09/10/2024,""7501,29"",""7556,56"",""7595,58"",""7501,22"",""16,92B"",""-0,74%"""
"08/10/2024,""7557,14"",""7486,72"",""7592,88"",""7449,48"",""19,48B"",""0,71%"""
"07/10/2024,""7504,13"",""7493,66"",""7540,24"",""7450,20"",""23,58B"",""0,11%"""
"04/10/2024,""7496,09"",""7531,79"",""7549,23"",""7467,80"",""22,39B"",""-0,63%"""
"03/10/2024,""7543,83"",""7567,45"",""7581,33"",""7504,41"",""18,94B"",""-0,26%"""
"02/10/2024,""7563,26"",""7601,74"",""7619,10"",""7501,46"",""31,53B"",""-1,03%"""
"01/10/2024,""7642,13"",""7551,46"",""7642,13"",""7547,11"",""20,70B"",""1,52%"""
"30/09/2024,""7527,93"",""7674,29"",""7679,24"",""7527,93"",""22,22B"",""-2,20%"""
"27/09/2024,""7696,92"",""7713,80"",""7736,92"",""7663,48"",""19,05B"",""-0,61%"""
"26/09/2024,""7744,52"",""7723,10"",""7763,08"",""7673,05"",""20,28B"",""0,05%"""
"25/09/2024,""7740,90"",""7747,85"",""7760,88"",""7633,45"",""27,67B"",""-0,48%"""
"24/09/2024,""7778,49"",""7774,56"",""7810,54"",""7717,84"",""18,28B"",""0,04%"""
"23/09/2024,""7775,73"",""7743,20"",""7775,73"",""7675,29"",""26,02B"",""0,42%"""
"20/09/2024,""7743,00"",""7904,40"",""7904,51"",""7738,32"",""31,77B"",""-2,05%"""
"19/09/2024,""7905,39"",""7858,11"",""7910,56"",""7853,35"",""25,95B"",""0,97%"""
"18/09/2024,""7829,13"",""7845,81"",""7879,04"",""7818,96"",""24,18B"",""-0,03%"""
"17/09/2024,""7831,78"",""7832,52"",""7854,02"",""7802,27"",""21,61B"",""0,25%"""
"13/09/2024,""7812,13"",""7805,69"",""7828,97"",""7775,64"",""16,25B"",""0,18%"""
"12/09/2024,""7798,15"",""7782,02"",""7833,27"",""7782,02"",""25,27B"",""0,48%"""
"11/09/2024,""7760,96"",""7770,27"",""7802,48"",""7736,78"",""17,19B"",""-0,01%"""
"10/09/2024,""7761,39"",""7725,28"",""7764,78"",""7723,30"",""19,65B"",""0,76%"""
"09/09/2024,""7702,74"",""7729,25"",""7748,33"",""7654,73"",""13,85B"",""-0,25%"""
"06/09/2024,""7721,85"",""7684,81"",""7754,48"",""7683,70"",""12,27B"",""0,53%"""
"05/09/2024,""7681,04"",""7679,65"",""7722,23"",""7650,80"",""13,77B"",""0,11%"""
"04/09/2024,""7672,90"",""7577,10"",""7672,90"",""7546,05"",""14,76B"",""0,74%"""
"03/09/2024,""7616,52"",""7706,65"",""7726,66"",""7598,47"",""16,57B"",""-1,01%"""
"02/09/2024,""7694,53"",""7686,54"",""7726,19"",""7669,92"",""15,62B"",""0,31%"""
"30/08/2024,""7670,73"",""7642,78"",""7673,18"",""7616,35"",""19,45B"",""0,57%"""
"29/08/2024,""7627,60"",""7679,53"",""7715,76"",""7627,60"",""15,39B"",""-0,41%"""
"28/08/2024,""7658,88"",""7604,33"",""7672,29"",""7581,05"",""15,20B"",""0,80%"""
"27/08/2024,""7597,88"",""7598,46"",""7610,20"",""7547,26"",""14,12B"",""-0,11%"""
"26/08/2024,""7606,19"",""7549,41"",""7619,90"",""7549,41"",""14,21B"",""0,82%"""
"23/08/2024,""7544,30"",""7510,66"",""7567,51"",""7507,74"",""12,88B"",""0,74%"""
"22/08/2024,""7488,68"",""7531,35"",""7540,27"",""7460,40"",""14,07B"",""-0,87%"""
"21/08/2024,""7554,59"",""7563,08"",""7594,55"",""7543,64"",""19,99B"",""0,27%"""
"20/08/2024,""7533,98"",""7490,32"",""7538,16"",""7482,50"",""18,36B"",""0,90%"""
"19/08/2024,""7466,83"",""7428,74"",""7466,83"",""7420,38"",""13,87B"",""0,47%"""
"16/08/2024,""7432,09"",""7443,94"",""7459,75"",""7417,21"",""15,13B"",""0,30%"""
"15/08/2024,""7409,50"",""7442,91"",""7460,39"",""7386,74"",""15,04B"",""-0,36%"""
"14/08/2024,""7436,04"",""7377,01"",""7445,66"",""7372,89"",""16,81B"",""1,08%"""
"13/08/2024,""7356,64"",""7316,43"",""7366,65"",""7286,55"",""14,61B"",""0,81%"""
"12/08/2024,""7297,63"",""7265,15"",""7297,63"",""7230,79"",""15,64B"",""0,56%"""
"09/08/2024,""7257,00"",""7219,98"",""7267,42"",""7219,92"",""11,27B"",""0,86%"""
"08/08/2024,""7195,12"",""7212,74"",""7234,45"",""7181,77"",""12,52B"",""-0,24%"""
"07/08/2024,""7212,13"",""7149,51"",""7246,26"",""7147,29"",""12,86B"",""1,16%"""
"06/08/2024,""7129,21"",""7098,67"",""7167,26"",""7066,50"",""12,25B"",""0,99%"""
"05/08/2024,""7059,65"",""7254,61"",""7257,48"",""6998,81"",""19,60B"",""-3,40%"""
"02/08/2024,""7308,12"",""7304,09"",""7337,98"",""7264,01"",""13,07B"",""-0,24%"""
"01/08/2024,""7325,98"",""7274,52"",""7325,98"",""7258,87"",""11,90B"",""0,97%"""
"31/07/2024,""7255,76"",""7251,80"",""7275,19"",""7226,50"",""14,05B"",""0,19%"""
"30/07/2024,""7241,86"",""7283,92"",""7292,56"",""7226,78"",""12,41B"",""-0,65%"""
"29/07/2024,""7288,90"",""7304,60"",""7333,90"",""7274,25"",""13,19B"",""0,01%"""
"26/07/2024,""7288,17"",""7262,13"",""7298,96"",""7256,53"",""12,87B"",""0,66%"""
"25/07/2024,""7240,28"",""7264,21"",""7268,05"",""7207,82"",""12,59B"",""-0,31%"""
"24/07/2024,""7262,76"",""7298,51"",""7311,15"",""7249,28"",""14,93B"",""-0,70%"""
